Date,Description,Category,Amount,Type
2025-06-01,Office Rent Payment,Office Expenses,1200.00,Expense
2025-06-02,Revenue from Project Phoenix,Revenue,5000.00,Revenue
2025-06-03,Client Lunch with Acme Corp,Meals & Entertainment,150.75,Expense
2025-06-05,Software Subscription - Adobe Creative Cloud,Software,59.99,Expense
2025-06-07,Hardware Purchase - New Monitor,Office Equipment,350.00,Expense
2025-06-10,Travel Expenses - Flight to Delhi,Travel,450.50,Expense
2025-06-11,Travel Expenses - Hotel in Delhi,Travel,320.00,Expense
2025-06-12,Team Lunch,Meals & Entertainment,220.40,Expense
2025-06-15,Revenue from Project Griffin,Revenue,3500.00,Revenue
2025-06-16,Office Supplies - Stationery,Office Expenses,75.20,Expense
2025-06-18,Software Subscription - Microsoft 365,Software,25.00,Expense
2025-06-20,Client Dinner with Innovate LLC,Meals & Entertainment,180.90,Expense
2025-06-22,Revenue from Project Phoenix,Revenue,2500.00,Revenue
2025-06-23,Consulting Services,Revenue,1500.00,Revenue
2025-06-24,Travel Expenses - Taxi in Delhi,Travel,45.00,Expense
2025-06-25,Internet Bill,Utilities,80.00,Expense
2025-06-26,Software Subscription - Slack,Software,15.00,Expense
2025-06-28,Freelancer Payment - Design Work,Contractors,500.00,Expense
2025-06-29,Coffee for the office,Office Expenses,45.75,Expense
2025-06-30,Bank Interest,Revenue,50.00,Revenue
